fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,brand,model,price
Diesel,1995,4,5,Automatic,51,SUV,400,2500,187,6000,BMW,X1,4300000
Petrol,2998,6,5,Automatic,0,SUV,450,5200,335,6500,BMW,X5,8790000
Petrol,2498,4,5,Automatic,0,Sedan,221,5200,175,5700,Toyota,Camry,4435000
Petrol,1984,4,5,Automatic,60,SUV,320,4100,187,6000,Volkswagen,Tiguan,3279500
Petrol,6750,12,5,Automatic,0,Sedan,820,1500,563,5250,Rolls-Royce,Ghost,74500000
Petrol,1984,4,5,Automatic,50,Sedan,320,3990,187,6000,Skoda,Octavia,2835000
Petrol,1984,4,5,Automatic,66,Sedan,320,4200,187,6000,Skoda,Superb,3504000
Petrol,1984,4,5,Automatic,73,Sedan,370,4500,241,6500,Audi,A6,6299000
Petrol,1969,4,5,Automatic,54,SUV,300,0,187,0,Volvo,XC40,4450000
Electric,0,0,5,Electric,0,SUV,605,0,320,0,Kia,EV6,6245000
Petrol,1969,4,5,Automatic,60,Sedan,350,0,246,0,Volvo,S90,6590000
Petrol,1199,4,5,Automatic,40,Hatchback,110,4800,88,6000,Honda,Jazz,916500
Petrol,1997,4,5,Automatic,82,SUV,365,4000,246,5500,Land,Rover Range Rover Velar,8941000
Diesel,1498,4,5,Manual,40,SUV,200,1750,97,3600,Honda,WR-V,1071000
Petrol,1998,5,5,Automatic,70,SUV,440,3000,246,4000,Volvo,XC60,6590000
Petrol,1984,4,7,Automatic,58,SUV,320,4100,187,6000,Skoda,Kodiaq,3874000
Petrol,1998,4,5,Automatic,54,Sedan,320,4200,187,6000,Audi,A4,4654500
Petrol,1998,4,5,Automatic,0,SUV,350,4800,248,5200,BMW,X3,6490000
Petrol,2998,6,2,Automatic,52,Convertible,500,4500,335,6500,BMW,Z4,7840000
Petrol,1998,4,5,Automatic,59,Sedan,400,4400,254,5000,BMW,3 Series Gran Limousine,5790000
Petrol,1330,4,5,Automatic,50,SUV,254,1600,153,5500,Nissan,Kicks,1220000
Diesel,1497,4,8,Manual,45,MUV,300,2500,120,3500,Mahindra,Marazzo,1430500
Diesel,1993,4,5,Automatic,0,Sedan,550,2200,261,4200,Mercedes-Benz,C-Class,5800000
Petrol,2998,6,5,Automatic,83,Luxury,450,5200,335,6500,BMW,X6,10400000
Diesel,2157,4,7,Automatic,70,SUV,420,2600,178,3800,Mahindra,Alturas G4,3188000
CNG,216,1,4,Manual,35,Hatchback,16,4000,10,5500,Bajaj,Qute (RE60),361000
Petrol,999,3,5,Automatic,55,Sedan,175,4000,108,5500,Volkswagen,Vento,1222000
Petrol,1984,4,5,Manual,0,SUV,370,4300,245,6000,Audi,Q5,6272500
Petrol,3855,8,2,Automatic,80,Coupe,760,5750,611,7500,Ferrari,Roma,37600000
Electric,0,0,5,Electric,0,SUV,280,0,173,0,MG,ZS EV,2394000
